"Df" "SumOfSqs" "F" "parOmegaSq" "Pr(>F)" "Community" "R2" "Comparison" "Diversity" "Factor" "Covariates"
"Residual55" 17 0.050009809352755 NA NA NA "Bacteria" 0.551544283919637 "Late vs Forest" "P-cycling" "Residual" 1
"Total55" 27 0.0906723373096215 NA NA NA "Bacteria" 1 "Late vs Forest" "P-cycling" "Total" 1
"sample_data(f1)$Succession16" 1 0.261906303669069 18.8709796395185 0.358344266920261 0.001 "Bacteria" 0.386138763305225 "Managed vs Forest" "P-cycling" "Succession" 0
"Residual16" 30 0.416363604866489 NA NA NA "Bacteria" 0.613861236694774 "Managed vs Forest" "P-cycling" "Residual" 0
"Total16" 31 0.678269908535559 NA NA NA "Bacteria" 1 "Managed vs Forest" "P-cycling" "Total" 0
"sample_data(f1)$Succession17" 1 0.20114683232251 9.20844349498275 0.194473968128165 0.002 "Bacteria" 0.223460114335643 "Recent vs Forest" "P-cycling" "Succession" 0
"Residual17" 32 0.698999634175677 NA NA NA "Bacteria" 0.776539885664357 "Recent vs Forest" "P-cycling" "Residual" 0
"Total17" 33 0.900146466498187 NA NA NA "Bacteria" 1 "Recent vs Forest" "P-cycling" "Total" 0
"sample_data(f1)$Succession26" 1 0.248466318478334 13.0307192450569 0.300537174248811 0.001 "Bacteria" 0.333858035339873 "Late vs Forest" "P-cycling" "Succession" 0
"Residual26" 26 0.495761144027969 NA NA NA "Bacteria" 0.666141964660126 "Late vs Forest" "P-cycling" "Residual" 0
"Total26" 27 0.744227462506304 NA NA NA "Bacteria" 1 "Late vs Forest" "P-cycling" "Total" 0
"sample_data(f1)$Succession36" 1 0.0361789556417167 3.76549062801109 0.0795470041715129 0.026 "Bacteria" 0.0533400570870527 "Managed vs Forest" "P-cycling" "Succession" 1
"sample_data(f1)$pH8" 1 0.0377728398352689 3.93138143073054 0.0839182795144678 0.022 "Bacteria" 0.0556899832351749 "Managed vs Forest" "P-cycling" "pH" 1
"sample_data(f1)$C.N8" 1 0.0212616077523729 2.21289927550295 0.0365189219237343 0.113 "Bacteria" 0.0313468244496922 "Managed vs Forest" "P-cycling" "C:N" 1
"sample_data(f1)$Parent_material8" 5 0.0526730999218131 1.0964388583687 0.0148448804754729 0.382 "Bacteria" 0.077658022652868 "Managed vs Forest" "P-cycling" "Parent material" 1
"sample_data(f1)$LDMC8" 1 0.00781342213666386 0.813217720258828 -0.00587121621533518 0.47 "Bacteria" 0.0115196355290679 "Managed vs Forest" "P-cycling" "LDMC" 1
"Residual36" 22 0.211376710964801 NA NA NA "Bacteria" 0.311640997639393 "Managed vs Forest" "P-cycling" "Residual" 1
"Total36" 31 0.678269908535559 NA NA NA "Bacteria" 1 "Managed vs Forest" "P-cycling" "Total" 1
"sample_data(f1)$Succession46" 1 0.0152095081122212 1.11134452910108 0.00346745147965313 0.307 "Bacteria" 0.0174997817085008 "Recent vs Forest" "P-cycling" "Succession" 1
"sample_data(f1)$pH16" 1 0.0729117193122998 5.32759112044975 0.119126839599712 0.011 "Bacteria" 0.083890889997388 "Recent vs Forest" "P-cycling" "pH" 1
"sample_data(f1)$C.N16" 1 0.0345230680768692 2.5225682876742 0.0454192016139179 0.084 "Bacteria" 0.0397216103765695 "Recent vs Forest" "P-cycling" "C:N" 1
"sample_data(f1)$Parent_material16" 5 0.0657666530584267 0.96110156271316 -0.00611504735513901 0.518 "Bacteria" 0.0756699075163645 "Recent vs Forest" "P-cycling" "Parent material" 1
"sample_data(f1)$LDMC16" 1 0.011057560774843 0.807965621350382 -0.0060373046467555 0.444 "Bacteria" 0.0127226270804082 "Recent vs Forest" "P-cycling" "LDMC" 1
"Residual46" 22 0.301085009829955 NA NA NA "Bacteria" 0.346422902624466 "Recent vs Forest" "P-cycling" "Residual" 1
"Total46" 31 0.869125590568535 NA NA NA "Bacteria" 1 "Recent vs Forest" "P-cycling" "Total" 1
"sample_data(f1)$Succession56" 1 0.0104712423349004 1.01277759737723 0.000456134609744086 0.362 "Bacteria" 0.0140699488562769 "Late vs Forest" "P-cycling" "Succession" 1
"sample_data(f1)$pH26" 1 0.0253738980020379 2.45416108544709 0.0493703107424632 0.107 "Bacteria" 0.0340942780001523 "Late vs Forest" "P-cycling" "pH" 1
"sample_data(f1)$C.N26" 1 0.0500997153277273 4.84563986737121 0.120758756407072 0.009 "Bacteria" 0.0673177460544235 "Late vs Forest" "P-cycling" "C:N" 1
"sample_data(f1)$Parent_material26" 6 0.0800715228259456 1.29075172286721 0.0586498253770652 0.244 "Bacteria" 0.107590121112021 "Late vs Forest" "P-cycling" "Parent material" 1
"sample_data(f1)$LDMC26" 1 0.0460557888462322 4.45451166931125 0.109825633461723 0.012 "Bacteria" 0.0618840222465482 "Late vs Forest" "P-cycling" "LDMC" 1
"Residual56" 17 0.175765261943293 NA NA NA "Bacteria" 0.236171427148597 "Late vs Forest" "P-cycling" "Residual" 1
"Total56" 27 0.744227462506304 NA NA NA "Bacteria" 1 "Late vs Forest" "P-cycling" "Total" 1
