"Sample" "Par" "Lat" "Long" "Landuse" "Succession" "Stage" "Ecosystem_type" "Date.collected" "Parent_material" "Distance" "Soil_water" "BD" "pH" "P" "K" "Mg" "Ca" "Al" "Fe" "Tot_C" "Tot_N" "C.N" "d15N" "d13C" "C.stock" "NH4" "NO3" "N_min" "NH4_t28" "NO3_t28" "N_min_t28" "NH4_mineralized" "NO3_mineralized" "N_min_mineralized" "Klimatnr.precip" "MAT" "MAP" "LDMC" "Leaf_C.N" "Litter_C" "Litter_C.N" "Litter_N" "Litter_P" "LN" "Leaf_lignin" "Lignin.N" "Basal_resp" "Glycine_resp" "Lignin_resp" "AY_resp" "OA_resp" "Glucose_resp" "Chitin_resp" "No_genomes" "Copy_16S" "AGS" "Max_GR" "abundance_16S" "abundance_ITS" "FB_abundance"
"42" "Sample_042" 25 59.6197222222222 16.5227777777778 "Forest" "Forest" 4 "Forest" "09-aug" "Moraine" 3131.36173430706 54.1482909134668 0.255290642484742 5.3 4.9 14.6 16.3 184 67 34 2.6 0.132 19.7 0.69 -27.73 NA 11.1 7 18.1 41.4 73.5 115 30.3 66.5 96.9 96350 7.03025083321 605.483795871 503.00898950359 35.3619760797088 555.269952507988 112.415 7.80519109195402 0.744332226000264 15.6808939815811 157.258982368258 10.028700057087 1.662 2.45755715130109 2.99969083884043 6.55453266434441 4.5335309692065 4.38909821294119 0.475816831416976 NA NA NA NA 5.01700666463416 3.53369837607061 0.704343966887731
"43" "Sample_043" 25 59.6286111111111 16.47 "Abandoned grassland" "Recent" 2 "Grassland" "09-aug" "Silty clay" 3131.36173430706 NA NA 5 5.9 23.4 50.5 298 136 265 21.1 1.34 15.7 3.79 -28.61 NA 10.3 47.9 58.2 31.5 138.6 170.1 21.2 90.7 111.9 96440 7.03025083321 646.63 NA NA NA NA NA NA NA NA NA 0.237 2.61865815457417 1.2510139919941 4.21166543373739 2.1215336197318 2.7654276014798 0.0316253669938749 NA NA NA NA 4.37888210939384 2.35214818220442 0.537157229503495
"44" "Sample_044" 26 59.1572222222222 17.8375 "Forest" "Forest" 4 "Forest" "10-aug" "Fine sand" 3974.41644237411 26.8238094746448 0.81099293301774 4.8 5.6 19.4 16.3 91 109 59 8.2 0.49 16.7 2.44 -27.97 NA 13.3 0.7 14 111.7 0.4 112.2 98.4 -0.3 98.2 97100 6.47941471074 575.635940106 501.085851951692 24.5355663997383 498.412095679567 71.92 8.19371062271062 0.857063097392233 23.388106282865 123.172470776616 5.26645762965668 0.706 9.62810883882258 3.34850863325283 11.5203592379914 11.6874531994538 10.2584494868257 1.54005911802382 NA NA NA NA 4.81432831695881 3.17194293365506 0.658854719667055
"45" "Sample_045" 26 59.1711111111111 17.7733333333333 "Grazed arable field" "Managed" 1 "Grassland" "10-aug" "Glacial clay" 3974.41644237411 17.1717439191512 1.58558430432383 5.6 2.8 14.9 12.1 131 32 22 0.85 0.077 11 5.84 -28.32 NA 3 10.2 13.2 0.9 43.7 44.6 -2.1 33.5 31.4 97140 6.47941471074 605.801111064 NA NA NA NA NA NA NA NA NA 0.399 -0.657112406688022 3.64200502212846 14.003941939387 2.86261196956207 12.3235969707233 0.222869715014906 NA NA NA NA 5.05835109421075 2.98756760647732 0.590620846761026
"46" "Sample_046" 27 59.1633333333333 17.7577777777778 "Abandoned grassland" "Recent" 2 "Grassland" "10-aug" "Peat" NA NA NA 5.4 5.6 27.5 39.8 492 121 139 19.1 1.564 12.2 4.31 -28.87 NA 19.3 108.1 127.4 302.7 314.5 617.2 283.4 206.4 489.8 97070 7.18704971518 590.312728213 441.42042599855 23.1574579939085 422.750364403484 NA 10.8116666666667 0.302071966891613 22.4685725486988 48.0455190747855 2.13834318894317 NA NA NA NA NA NA NA NA NA NA NA 4.12783476696164 2.50478527430299 0.606803667227861
"47" "Sample_047" 28 59.1502777777778 17.825 "Forest" "Forest" 4 "Forest" "10-aug" "Moraine" 4849.03566264786 31.4734829710401 0.79705311016072 4.9 2 18.8 40.6 201 67 131 5.73 0.263 21.8 0.83 -26.49 NA 45.7 7.7 53.4 139.5 2.5 142 93.8 -5.2 88.6 97050 6.47941471074 659.100672775 486.482819012867 31.7341181517998 552.544716195155 83.455 7.90960468319559 0.743765369360306 17.3966778171304 91.5243142302258 5.2610225465061 0.979 -1.3357951206275 0.946372883741894 9.44027130395423 9.60968910217278 5.41441198467524 0.354849712298061 NA NA NA NA 4.85181315934782 3.48663250376709 0.71862464387144
"48" "Sample_048" 28 59.1594444444444 17.7419444444444 "Grazed grassland" "Managed" 1 "Grassland" "10-aug" "Moraine" 4849.03566264786 34.8817310541915 0.919435725000593 5.4 14.7 37.4 34.3 202 55 31 8.43 0.57 14.8 4.16 -28.08 NA 8.3 4.3 12.6 69.8 68.2 138 61.5 63.9 125.4 97070 7.18704971518 590.312728213 469.780876069893 27.0735243043182 522.920344938457 82.6714285714286 11.3039807692308 0.692888492478503 20.8765569741256 141.699681657796 6.78750245231619 0.384 -0.648814769996677 0.410962527521998 6.22500416174693 4.96965045046516 9.88013918311853 0.880132986068417 NA NA NA NA 5.16017724350619 3.68073818472556 0.713296852226844
"49" "Sample_049" 29 59.1561111111111 17.3938888888889 "Forest" "Forest" 4 "Forest" "11-aug" "Moraine" 3160.27447499898 40.2503104996656 0.590721157264905 4.6 3.1 15.9 11.6 72 87 45 8.35 0.296 28.2 -0.79 -27.89 NA 11.2 0 11.2 59 0.3 59.3 47.8 0.3 48.1 97030 7.25333471034 615.55 505.432358318206 39.2920610970926 561.146128068499 114.25 6.98613333333333 0.613139577936941 13.1114753736412 166.466242210395 12.6962250598474 NA NA NA NA NA NA NA 368.0936618 2.095218651 3.103926306 0.218104792 4.68211068610178 3.59626864185725 0.768087062215827
"50" "Sample_050" 29 59.1577777777778 17.3386111111111 "Grazed grassland" "Managed" 1 "Grassland" "11-aug" "Moraine" 3160.27447499898 33.9015905031552 1.40741417979098 5.6 2.5 12.2 20.4 119 26 25 3.18 0.234 13.6 3.65 -29.16 NA 2.6 4.8 7.4 54.4 55.6 110.1 51.8 50.8 102.7 97030 6.95683499521 615.55 459.341331313724 20.8376536990978 450.588078485158 55.0842105263158 9.57530263157895 1.67048144288849 22.6541735570702 53.025 2.34062831144203 NA NA NA NA NA NA NA 687.6470061 2.673336634 2.586378599 0.21953598 4.98250387701137 3.04153705006058 0.610443488883941
"51" "Sample_051" 30 59.1558333333333 17.4011111111111 "Forest" "Forest" 4 "Forest" "11-aug" "Moraine" 3633.76011654817 22.4542892245429 0.780912262642065 5.1 3 16.9 11.5 61 98 46 7.31 0.409 17.9 2.48 -27.94 NA 23.5 0 23.5 77.4 0.2 77.6 53.9 0.2 54.1 97030 7.25333471034 615.55 492.172549497408 33.5550214454419 485.43611507338 79.58 7.63187866512346 0.784074974482822 16.0552585396315 81.4790106721975 5.07491115581048 1.47 0.527095501347789 3.54668828036423 8.93000396815594 6.36756392885141 4.65694820370517 -0.0773476409796052 NA NA NA NA 4.83047508673807 3.7595330224207 0.778294671831015
"52" "Sample_052" 30 59.1572222222222 17.3375 "Grazed arable field" "Managed" 1 "Grassland" "11-aug" "Fine clay" 3633.76011654817 33.0099551604748 1.51924316356096 5.5 2.1 14.7 37.1 169 25 31 3.97 0.306 13 3.76 -28.83 NA 3.3 9.3 12.6 14.6 61.7 76.3 11.3 52.4 63.7 97030 6.95683499521 615.55 455.040210655726 17.7356544760597 461.576789458817 34.9 17.2432683176423 NA 30.8335419201215 56.3872654854186 1.82876380636054 0.658 0.906761005738498 -0.214692429991946 6.07479051496405 2.44605395286495 2.52428898509672 -0.177000174815866 NA NA NA NA 4.97625585455096 2.97431555844056 0.597701493929505
"53" "Sample_053" 32 59.2033333333333 17.2277777777778 "Forest" "Forest" 4 "Forest" "11-aug" "Glacial clay" 6445.09032884707 32.381464288507 0.720976668009856 4.9 3.9 14.3 11.7 72 82 45 6.32 0.344 18.4 2.78 -28.16 NA 16.1 0.3 16.4 105.8 0.3 106.2 89.7 0 89.8 97170 6.95683499521 564.395219309 495.499220841369 38.7615847418541 NA 83.25 6.00766666666667 0.656666666666667 12.691099709031 NA NA NA NA NA NA NA NA NA 414.1861846 2.266466952 2.84791416 0.224771026 4.69578421619549 3.37932688532944 0.719651229644312
"54" "Sample_054" 32 59.1636111111111 17.31 "Abandoned former arable field" "Late" 3 "Grassland" "" "Fine clay" 6445.09032884707 124.674426645154 0.489699768948847 5.2 1.8 13.1 10.5 40 123 59 5.74 0.444 12.9 3.82 -28.45 NA 13.3 1.9 15.2 47.2 7.3 54.5 33.9 5.4 39.3 97030 6.95683499521 615.55 456.424280208171 23.6664204558974 489.128623216501 77.1333333333333 9.13920833333333 0.680101325056237 26.4535521397007 75.4231144487131 2.8511526183858 NA NA NA NA NA NA NA 355.3592121 2.533298247 2.524906262 0.208038785 4.61946478402536 2.2436500894473 0.485694814084545
"55" "Sample_055" 33 61.3644444444444 16.1041666666667 "Forest" "Forest" 4 "Forest" "17-aug" "Moraine" 5971.06996287191 56 0.75 4.9 6.4 16.2 17.3 48 79 71 5.4 0.222 24.3 1.65 -28.09 40.5 18.2 0 18.2 58.1 0 58.1 39.9 0 39.9 116080 4.77057382736 722.376986266 495.593283562828 38.8033889688775 NA 83.25 6.00766666666667 0.656666666666667 12.6513984454798 NA NA 1.343 1.24610261507634 1.57326243066299 6.4966766778284 6.07776927630793 4.52552913659697 -0.440260404564892 335.4926624 2.281605006 3.224236239 0.203602751 4.74187474672224 3.38794948928627 0.714474689916293
"56" "Sample_056" 33 61.4105555555556 16.0469444444444 "Abandoned former arable field" "Late" 3 "Grassland" "17-aug" "Moraine" 5971.06996287191 49.5 1.09 5.4 3.7 15.5 20.1 284 101 139 10.8 0.826 13.1 3.79 -28.08 117.7 34.7 56.7 91.4 125.9 129.6 255.5 91.2 72.9 164.1 115230 4.77057382736 600.172907115 458.17966914965 21.2105458707476 470.034471274501 78.6625 12.8039029947917 0.758639531877709 26.4807920748421 81.6337639475182 3.08275385860054 1.624 1.17075622607486 -0.742640158562183 6.35278420023763 1.12524042924305 3.44488455696711 -0.9572668579733 334.0966301 2.474586387 2.704331079 0.198179209 4.89955795255156 2.92059605353006 0.596093786789295
"57" "Sample_057" 34 61.3688888888889 16.1133333333333 "Forest" "Forest" 4 "Forest" "17-aug" "Peat" 6342.28258495617 NA NA 5 8 20.8 34.2 193 58 59 11.6 0.661 17.5 1.52 -28.29 NA 10.8 53.3 64.1 170.3 11.9 182.2 159.5 -41.4 118.1 116080 4.77057382736 722.376986266 506.517775064197 29.4536505994547 533.987315106052 100.15 7.80582916666667 0.755149440517706 20.008908864897 149.471893444325 7.47026709220281 NA NA NA NA NA NA NA 355.5729032 2.493779714 2.990444127 0.231942682 4.79085073358254 3.24117912306162 0.676535192453785
"58" "Sample_058" 34 61.4128912894232 16.0377513298832 "Grazed grassland" "Managed" 1 "Grassland" "17-aug" "Moraine" 6342.28258495617 47.7 0.99 5.1 3.5 16.7 31.1 185 44 58 7.31 0.492 14.9 1.97 -28.31 72.4 11.9 81 92.9 232.3 5.1 237.4 220.4 -75.9 144.5 115230 4.77057382736 600.172907115 451.892362493735 21.2125573754576 453.052734527665 98.0375 12.1674252873563 0.970772784771961 24.5151395362516 87.3530806840139 3.56323000139735 NA NA NA NA NA NA NA 459.4462775 2.883309205 3.038138229 0.195842959 4.71266352643143 2.69736414062404 0.572365102132925
"59" "Sample_059" 35 61.3647222222222 16.095 "Forest" "Forest" 4 "Forest" "17-aug" "Moraine" 6078.2095044602 427.1 0.18 4.1 12.1 35.4 17.1 99 29 26 23.6 0.742 31.8 -1.7 -28.08 42.5 36.7 0 36.7 96.3 0.2 96.5 59.6 0.2 59.8 116080 4.77057382736 722.376986266 497.736194009818 37.6123968705885 557.004707536889 98.75 6.58939682539683 0.672072258833231 13.75326159061 146.023428406266 10.6173671928092 1.757 16.2578886061303 4.03953999028049 31.2163980101178 24.241480007431 25.824899954166 2.93247505879522 NA NA NA NA 4.76211666050056 3.45549338332287 0.725621321288599
"60" "Sample_060" 35 61.41111749749 16.034882455759 "Grazed arable field" "Managed" 1 "Grassland" "17-aug" "Silty clay" 6078.2095044602 38.6 1.36 5.7 2.4 9.1 17.7 193 52 63 4.76 0.342 13.9 4.49 -28.61 64.7 3.5 13.7 17.2 7.5 2.7 10.2 4 -11 -7 115230 4.77057382736 600.172907115 445.629613008261 17.5847158973344 482.795783367674 NA 28.2424958333334 NA 31.0429348660985 54.2025 1.7460494709601 0.581 2.79917474778928 3.39734351395917 5.72921031415578 2.41525710524401 5.31161425503688 0.170072566735089 NA NA NA NA 4.97026443888095 2.36171841984468 0.475169570731415
"61" "Sample_061" 36 61.3688888888889 16.0947222222222 "Forest" "Forest" 4 "Forest" "17-aug" "Moraine" 6066.35542452277 85.8 0.69 4.6 4.5 22.4 43.5 164 72 82 13.9 0.673 20.7 0.92 -27.27 95.9 23.6 2.3 25.9 132.3 7.6 139.9 108.7 5.3 114 116080 4.77057382736 722.376986266 495.967378308584 28.9476134958723 NA 74.075 9.56633333333333 0.880833333333333 18.8044620669083 NA NA 2.669 17.0400104802786 8.12348257194338 18.1886467917791 16.3498284183696 16.7365829416558 -1.87228339045036 340.2273778 2.794764457 3.028388564 0.209567775 4.7705822948635 3.09807653226148 0.649412658827244
"62" "Sample_062" 36 61.4141666666667 16.0313888888889 "Former open land" "Late" 3 "Grassland" "17-aug" "Silty clay" 6066.35542452277 59.4 0.75 5.8 2.1 17 37 343 47 48 10.6 0.657 16.1 2.37 -28.23 79.5 11.8 23.1 34.9 143.1 169.2 312.3 131.3 146.1 277.4 115230 4.77057382736 600.172907115 495.612085509427 24.6126751191722 497.703733452118 74.075 8.59740367965368 1.00402968685849 23.5453320465532 104.037562928701 4.4186067422197 2.1 19.0865347873462 6.43373148201368 19.1126461303628 14.4118502429757 16.7532097494305 0.437831299013916 741.9314772 2.496505559 2.761606648 0.193334895 5.05963178277719 3.61995567991434 0.715458324899558
"63" "Sample_063" 37 62.5225 17.5061111111111 "Grazed former arable field" "Managed" 1 "Grassland" "18-aug" "Moraine" NA NA NA 5.6 3.9 10.8 30.5 285 48 26 7.85 0.626 12.5 3.92 -28.49 NA 5 13.9 18.9 46.2 34.9 81.1 41.2 21 62.2 127310 4.36166388889 568.809981604 448.935335985518 18.3812072335398 435.046886333674 40.9 18.7992271541138 2.55405917435468 29.0464737897757 54.0031169760691 1.85919700156781 NA NA NA NA NA NA NA NA NA NA NA 4.94767430168782 3.17216314349152 0.641142272119528
"64" "Sample_064" 38 62.5205555555556 17.5202777777778 "Forest" "Forest" 4 "Forest" "18-aug" "Moraine" 1425.20740847445 166.150915664138 0.196060504474852 4.8 13.3 37.3 27.3 180 114 95 28.4 1.22 23.3 2.77 -27.99 NA 32 0 32 182.9 0.3 183.2 150.9 0.3 151.2 127310 4.36166388889 568.809981604 497.834350449155 35.8437937397954 552.028995536921 96.915 7.26728170864428 0.694883146008178 14.9069378256374 156.639435603605 10.507821085442 3.479 52.3554127641417 7.14498556037192 58.5578053915735 50.7777892900953 54.3028918399895 5.43697733264066 581.1669542 1.937543607 3.00698446 0.227607414 4.91439061615843 3.82326719782018 0.777973811289917
"65" "Sample_065" 38 62.5261111111111 17.4952777777778 "Grazed arable field" "Managed" 1 "Grassland" "18-aug" "Moraine" 1425.20740847445 20.4652539796399 1.14571799117558 5.5 8.6 7.1 5.1 52 36 16 2.96 0.223 13.3 5.5 -28.2 NA 1.2 9.3 10.5 9.5 7.6 17.1 8.3 -1.7 6.6 127310 4.36166388889 568.809981604 436.840967472596 19.07796533217 448.757233357283 NA 18.0634166666667 0.302071966891613 26.7861376243477 47.4441339184514 1.77121967279546 0.326 2.96696954533962 3.01622197367673 2.62752375103694 4.41744621653195 3.68887823350568 0.297172959034602 471.9719787 2.39332093 2.72408545 0.204587423 5.01853361455767 3.1385710274067 0.62539603566715
"66" "Sample_066" 39 63.1477777777778 18.0441666666667 "Forest" "Forest" 4 "Forest" "18-aug" "Moraine" 4686.71679599013 41.6090325340895 0.683192411318459 4.6 9.3 38.7 20 141 21 6 15.3 0.65 23.5 0.89 -28.82 NA 138.1 0 138.1 300 0 300 161.9 0 161.9 137080 3.55213951578 586.623271183 495.632954833927 37.3455750427722 548.039622977945 94.875 6.90047840909091 0.802128684259706 13.9956535493462 140.693102698255 10.052628282216 1.318 2.70825141748352 2.32163398670235 8.88251422572926 5.10231347480836 6.97177337499419 0.268410072562361 NA NA NA NA 4.95342097698922 3.74974271881534 0.75700061356273
"67" "Sample_067" 39 63.1893526686363 18.0294600412475 "Grazed arable field" "Managed" 1 "Grassland" "18-aug" "Moraine" 4686.71679599013 38.5649670497176 1.00953664480316 5.5 4.8 13.5 8.7 87 108 20 5.04 0.329 15.3 3.71 -28.49 NA 6.7 0 6.7 130 0 130 123.3 0 123.3 138110 3.47542557131 791.654223232 452.107530410677 18.581163482353 436.157797654567 NA 13.9614523809524 NA 28.2852973935766 52.0575830017343 1.84044672669966 0.862 3.54182597969483 4.44092167371395 9.54985350911186 4.32224051943291 9.49049269736926 0.294485407641152 NA NA NA NA 4.99898373660755 3.15823567044862 0.631775544161279
"68" "Sample_068" 40 63.8186111111111 20.1066666666667 "Forest" "Forest" 4 "Forest" "19-aug" "Sand" 806.253166419334 NA NA 4.2 5.4 8.6 3.7 16 85 65 6.55 0.475 13.8 3.7 -29.05 NA 20.3 59.8 80.1 108.7 4.3 113 88.4 -55.5 32.9 140490 4.07960702755 634.599515168 495.593283562828 38.8033889688775 NA 83.25 6.00766666666667 0.656666666666667 12.6513984454798 NA NA NA NA NA NA NA NA NA NA NA NA NA 4.74667875521687 2.63223195060807 0.554541835744645
"69" "Sample_069" 40 63.82 20.1227777777778 "Grazed arable field" "Managed" 1 "Grassland" "19-aug" "Silty clay" 806.253166419334 NA NA 5.2 12.6 14.5 5.1 79 70 80 41.9 1.57 26.7 0.3 -28.5 NA 19.4 40.1 59.5 77 27.6 104.6 57.6 -12.5 45.1 140490 4.07960702755 634.599515168 453.801300585625 17.9755768824308 454.087987950869 NA 21.6155041666667 NA 30.4821736726352 58.9849993582923 1.93506539237538 NA NA NA NA NA NA NA NA NA NA NA 5.01360587178819 2.93992655376374 0.586389642294552
"70" "Sample_070" 41 63.8238888888889 20.1058333333333 "Forest" "Forest" 4 "Forest" "19-aug" "Sand" 1248.15004767902 644.055330332346 0.0743833462572986 4.3 11.5 35.6 18.9 50 250 59 42.3 1.57 26.9 0.39 -28.72 NA 153.1 1.1 154.2 449.9 1 450.9 296.8 -0.1 296.7 140490 4.07960702755 634.599515168 500.896574165887 36.4113492232246 544.203953166458 94.875 6.78754 0.795366204606768 14.1711915381718 136.390665225237 9.62450227688 0.86 3.50357526303618 5.652604919743 8.32205317772727 13.1091511795534 3.68304369008322 0.699423251043829 NA NA NA NA 4.39005233760751 3.16659028775091 0.721310372686043
"71" "Sample_071" 41 63.8311111111111 20.1252777777778 "Grazed grassland" "Managed" 1 "Grassland" "19-aug" "Sandy silt" 1248.15004767902 39.6949241336375 1.33280508741454 5.2 5.5 9.9 7.8 54 202 36 8.62 0.484 17.8 3.75 -28.41 NA 14.4 16.7 31.1 93.1 1.8 94.9 78.7 -14.9 63.8 140490 4.07960702755 634.599515168 464.437984230169 20.9319567020974 451.289944587825 88.35 13.1733858024691 1.20294159129826 25.0437080134256 65.7035566982103 2.62355545205157 0.45 0.593346957747006 0.340442929242167 1.78376333235165 0.238379067025043 0.907644275247006 -0.385264263444099 NA NA NA NA 4.7753715950845 2.71083376020239 0.567669699881109
"72" "Sample_072" 42 63.8191666666667 20.0808333333333 "Forest" "Forest" 4 "Forest" "19-aug" "Sand" 2365.0932356283 NA NA 3.9 11.2 47.2 24.1 74 67 11 38 1.25 30.4 0.44 -28.2 NA 40.6 0 40.6 161.4 0 161.4 120.8 0 120.8 140490 4.07960702755 634.599515168 507.892127007051 39.4142291291464 561.146128068499 122 7.23075 0.60225780575451 13.2264946056815 166.466242210395 12.5858171173252 NA NA NA NA NA NA NA 294.5499022 2.238009832 2.734866295 0.232182274 4.59503187458925 3.14947323516482 0.685408354310132
"73" "Sample_073" 42 63.8325 20.1183333333333 "Abandoned grassland" "Recent" 2 "Grassland" "19-aug" "Sandy silt" 2365.0932356283 NA NA 4.9 4.3 5.9 2 30 51 59 3.43 0.258 13.3 7.74 -28.76 NA 7.9 22 29.9 84.9 2.5 87.4 77 -19.5 57.5 140490 4.07960702755 634.599515168 449.870688488831 22.438907320056 426.70035198321 NA 13.054921875 1.14583333333333 25.3232577335212 59.605587782324 2.35378830044533 NA NA NA NA NA NA NA 542.6270397 2.465012361 2.438763466 0.202629277 4.91216411019522 2.62889743305524 0.535181108383361
"74" "Sample_074" 43 63.8252777777778 20.0838888888889 "Forest" "Forest" 4 "Forest" "19-aug" "Peat" 1519.66624432387 NA NA 4 10.7 37.1 36 98 24 9 49.5 1.78 27.8 1.5 -28.86 NA 131.2 0 131.2 338 0.4 338.5 206.8 0.4 207.3 140490 4.07960702755 634.599515168 506.05822135707 33.6418056884976 548.727403986594 106.705 8.2096586622807 0.883927972089807 16.3759870183139 145.423625387533 8.88029681660717 NA NA NA NA NA NA NA NA NA NA NA 4.66201534377346 2.68918047726644 0.576827890722858
"75" "Sample_075" 43 63.8364601440779 20.1016440092964 "Abandoned arable field" "Recent" 2 "Grassland" "19-aug" "Moraine" 1519.66624432387 14.750676455492 1.34313297236529 5.4 5 10.9 3.3 39 71 48 3.91 0.256 15.3 5.66 -28.87 NA 5.2 3.2 8.4 17.9 7.2 25.1 12.7 4 16.7 140490 4.07960702755 634.599515168 445.730288291467 17.3547034174566 404.634224107457 NA 13.3651666666667 NA 28.3472502925527 53.025 1.87055179789098 NA NA NA NA NA NA NA NA NA NA NA 4.97592206296611 3.14020486772835 0.631079994419465
"76" "Sample_076" 44 64.455 21.2458333333333 "Forest" "Forest" 4 "Forest" "20-aug" "Moraine" 371.7778551939 91.4805610659786 0.484959100446864 4.2 14.8 54.1 23.1 105 19 7 31.3 0.846 37 -1.31 -29.24 NA 89.5 0 89.5 167.2 0.4 167.7 77.7 0.4 78.2 151220 3.98731541017 669.719885576 507.892127007051 39.4142291291464 561.146128068499 122 7.23075 0.60225780575451 13.2264946056815 166.466242210395 12.5858171173252 NA NA NA NA NA NA NA 659.8765067 1.895687409 3.058472729 0.212920257 5.12981456723544 4.05166853651298 0.789827484679725
"77" "Sample_077" 44 64.4558333333333 21.2533333333333 "Abandoned former arable field" "Late" 3 "Grassland" "20-aug" "Moraine" 371.7778551939 271.971137443328 0.309554365873508 4.6 6.7 23.8 17.4 278 189 318 41.1 2.27 18.1 2.16 -28.19 NA 105.7 205.4 311.1 325.2 188.4 513.7 219.5 -17 202.6 151220 3.98731541017 669.719885576 458.22944219771 27.0519812749405 443.113420848388 72.7642857142857 9.85318055555556 0.864904656318368 22.721430097999 53.8925514002881 2.37188201481359 NA NA NA NA NA NA NA 694.5909689 2.726840681 2.746876486 0.215960706 4.13922123022805 2.28349871822819 0.551673513257078
"78" "Sample_078" 45 64.4603984708925 21.2345386315704 "Forest" "Forest" 4 "Forest" "20-aug" "Moraine" 1465.89901470159 169.361440851412 0.275748884531989 4.4 7.8 18.3 7.3 33 62 35 18 0.607 29.7 2.26 -28.14 NA 34.5 0 34.5 133.2 0.4 133.6 98.7 0.4 99.1 151220 3.98731541017 669.719885576 503.047408578513 37.1987379704378 561.146128068499 104.665 7.45325 0.668854683452706 14.2270688658865 166.466242210395 11.7006703052901 2.219 5.9486740870216 5.2388085299693 12.0105189453542 16.3784035212075 5.9779212577929 0.343828793270514 287.0037111 2.20232423 2.803265146 0.212500964 NA NA NA
"79" "Sample_079" 45 64.4527777777778 21.2594444444444 "Abandoned arable field" "Recent" 2 "Grassland" "20-aug" "Peat" 1465.89901470159 83.9589969316715 0.673005617692175 5.3 5.3 7.9 7.4 165 85 87 8.2 0.54 15.2 3.7 -28.95 NA 10.3 59.9 70.2 24.1 91.5 115.6 13.8 31.6 45.4 151220 3.98731541017 669.719885576 448.849575094978 19.7157254207151 475.342697541777 NA 24.2691666666667 NA 27.35635348777 53.5149995721949 1.95621830943658 1.318 2.25319230341642 1.24999787212176 12.5833215202622 4.013641381109 3.9894676832038 0.0219449636444284 503.3414014 2.262837695 2.461114855 0.175126656 4.94025630092733 2.83085144503988 0.573017121502077
"80" "Sample_080" 46 66.1461111111111 23.8336111111111 "Forest" "Forest" 4 "Forest" "21-aug" "Moraine" 1638.11872685931 412.542339111377 0.152491503480441 4.6 3.4 15.3 9.3 36 34 114 12.7 0.488 26 3.06 -28.95 NA 102.9 49 151.9 102.7 0.5 103.3 -0.2 -48.5 -48.6 171770 1.12450774426 583.132960662 488.952099614006 34.8224833762677 502.610676214585 81.415 6.90201034482759 0.748207335759181 15.5671425016781 94.2080815354851 6.05172603291385 4.157 12.303406401571 1.74194388188071 21.6430764058158 21.8317012544725 13.4528988488304 -2.4270873549591 512.5594447 2.518651268 3.374581657 0.21449842 5.06534941254572 3.97425491903134 0.784596401027739
"81" "Sample_081" 46 66.1497222222222 23.8688888888889 "Abandoned former arable field" "Late" 3 "Grassland" "21-aug" "Moraine" 1638.11872685931 328.754340617346 0.205824024127745 4.6 8.3 25.5 18.6 219 26 387 36.6 2.45 14.9 1.84 -29.92 NA 158.4 173.8 332.2 429.5 152.2 581.8 271.1 -21.6 249.6 173710 1.55151629022 661.55 449.995003070363 21.1538911886344 471.94496281629 64.9 10.3499605654762 0.74258924571648 28.2359274019055 72.5483203870711 2.5693620526229 3.257 12.8285559737093 3.98827337058209 25.300647880427 16.3757471164337 20.5194849119221 2.67968388394538 810.8064165 4.318240135 3.247547191 0.217659878 NA NA NA
"82" "Sample_082" 47 66.1422222222222 23.8325 "Forest" "Forest" 4 "Forest" "21-aug" "Peat" NA NA NA 4.7 8.4 37.5 60.8 293 73 179 42.91 2.81 15.3 0.46 -29.26 NA 192 184 376 631.8 129.8 761.6 439.8 -54.2 385.6 173710 1.55151629022 661.55 496.266654105189 21.0629931174681 NA 66.735 12.4132666666667 1.06016666666667 23.726912964051 NA NA NA NA NA NA NA NA NA NA NA NA NA 5.12864314882253 3.7771489269554 0.736481134941623
"83" "Sample_083" 48 67.7908333333333 23.1919444444444 "Forest" "Forest" 4 "Forest" "22-aug" "Silt" 2899.29325077159 194.634097082806 0.368784503883398 4.6 9.5 8.2 5.2 20 103 82 4.49 0.126 35.6 3.72 -28.45 NA 3.8 0 3.8 6.8 0 6.8 3 0 3 183980 -0.168447566144 580.81714084 497.42171950046 23.0952322280961 561.146128068499 72.445 11.8238416666667 1.00989244724212 22.5538098557855 166.466242210395 7.38084799308057 0.646 2.73945849268083 1.94670441746431 4.82089626601062 4.67249578545216 3.88339742394951 0.3194943919593 480.9128624 1.798988978 2.951985299 0.221769664 4.52158956857727 3.17107639752099 0.701318938710922
"84" "Sample_084" 48 67.7661111111111 23.2136111111111 "Abandoned former arable field" "Late" 3 "Grassland" "22-aug" "Silty clay" 2899.29325077159 51.0216090316665 1.0409153553639 5.1 11.7 8.5 2.7 23 105 100 3.49 0.166 21 4.37 -27.98 NA 5.1 0 5.1 34.2 0 34.2 29.1 0 29.1 183920 -0.168447566144 581.301038147 454.857482218823 21.7306933426593 499.262775875281 59.3043859649123 10.6547333333333 0.692622213307336 24.1093517387762 64.1420579853488 2.66046381836912 0.359 0.838488034015823 0.500506252844041 0.594373841279134 1.61064030764305 0.968273317220587 0.189278751756895 540.6690915 2.029190571 2.511029799 0.18823866 4.67829674753812 2.7585622368149 0.589650974634424
